ERBB3	PIK3CD
SRC	YES1
HCK	PIK3CA
PDK1	PIK3CB
PDPK1	PIK3CD
PIK3C2A	PIP5K1A
ACVR2A	ACVR2B
PKMYT1	RPS6KA1
PIK3CB	SRC
PIK3CB	PIP5K1C
PDK1	PIK3CA
PRKCG	PTK2
IGF1R	PRKACB
PIK3CB	ZAP70
PIK3CD	PIP4K2B
EPHB1	FYN
MYLK	PAK6
MAP3K2	PRKCD
ARAF	PRKCG
ERBB4	PIK3CD
MAP3K1	MAP3K7
MAPK7	RPS6KA1
ERBB4	PIK3CG
PIK3CA	STK11
AKT2	PIK3CB
ABL1	NTRK3
JAK3	MAPK14
CAMK2A	MAP3K7
PRKCG	PTK2B
PKMYT1	RPS6KA2
PIK3CB	PTK2
ERBB4	PIK3CA
BUB1	RPS6KA2
ACVR2B	BMPR2
ERBB3	PIK3CG
JAK1	PIK3CB
PIK3CD	PIP4K2A
RPS6KA2	RPS6KA4
BTK	FGR
IGF1R	MAPK3
ERBB2	MAPK3
MAP2K2	MOS
MAP2K4	PRKCD
CSF1R	PIK3CA
CAMK2B	JAK2
FGR	PIK3CB
PI4KA	PIP5K1C
BMPR1B	MAP3K7
MAP2K6	TAOK3
PIK3CD	TYK2
BTK	LCK
MAPK3	MAPK7
EPHA1	FYN
MAPK3	PRKACA
CAMK2A	MAPK3
PIP4K2A	PIP5K1B
FLT1	PIK3CA
AKT3	PDK1
PIK3CA	ZAP70
EPHB2	LCK
JAK3	PIK3CD
FGR	PIK3CG
GSK3B	PRKX
PDGFRA	SRC
PIK3CD	PIP5K1A
FER	PDGFRB
MAP3K1	MAP3K11
MAP3K12	MAPK14
IGF1R	PRKACG
FGR	PIK3CD
MAP3K3	PRKCD
BUB1	RPS6KA3
PIK3CB	PRKCZ
ABL1	EPHB6
PRKCH	PRKCQ
MAP2K1	PIK3CB
PIP4K2B	ROCK2
PRKCZ	ROCK2
HCK	SYK
BTK	PIK3CB
CDK2	PKMYT1
JAK1	MAPK14
ACVR1	ACVR2B
PIK3CG	PRKCI
MYLK2	PAK4
HCK	PIK3CG
CAMK2B	JAK1
PI4K2B	PIP5K1B
JAK3	MAP2K1
PRKCH	RAF1
MAP3K4	PRKCD
AKT1	JAK1
JAK1	MAPK9
JAK3	MAPK3
BUB1	RPS6KA6
AKT1	PIK3CG
JAK3	PIK3CG
MAP3K7	MAPK9
PIP4K2C	PIP5K1B
MAPK14	SRC
MAP2K6	MAP3K6
IGF1R	PIK3CB
HCK	PIK3CD
PKMYT1	RPS6KA6
PIK3CB	PIK3CG
JAK3	SYK
PI4KA	PIP5K1A
